person_id,arrest_id,charge_degree,offense_category,arrest_date_event
1063563,4827776,misdemeanor,property,2017-11-13
14773,6092650,misdemeanor,violent,2017-02-20
1439871,5408979,misdemeanor,property,2017-08-03
14773,6131689,misdemeanor,violent,2017-02-10
1065197,5821772,misdemeanor,property,2017-05-01
1064456,4704077,misdemeanor,violent,2017-12-03
1065717,5191915,misdemeanor,drug,2017-09-12
21493,5595431,misdemeanor,drug,2017-06-23
14260,3121947,misdemeanor,violent,2018-08-27
1065197,2510506,misdemeanor,violent,2018-12-19
1063563,4332879,misdemeanor,drug,2018-02-14
1064456,2953487,misdemeanor,violent,2018-09-26
1065214,3854593,misdemeanor,violent,2018-04-27
21493,2652491,misdemeanor,violent,2018-11-23
79024,3017056,misdemeanor,property,2018-09-14
1063563,4332878,misdemeanor,property,2018-02-14
79024,3017057,misdemeanor,property,2018-09-14
14780,1052052,misdemeanor,property,2019-08-31
1439871,1951554,misdemeanor,other,2019-04-03
1065449,1591013,misdemeanor,drug,2019-05-20
1065449,867349,misdemeanor,property,2019-10-05
1065449,6695529,misdemeanor,drug,2020-10-01
1417936,8677144,misdemeanor,other,2020-11-19
1439871,1699139,misdemeanor,drug,2020-05-16
21406,231763,misdemeanor,violent,2020-02-14
14836,1695802,misdemeanor,violent,2020-05-15
78786,11166324,misdemeanor,violent,2012-09-26
1448386,11383129,misdemeanor,property,2012-07-14
78786,11434679,misdemeanor,other,2012-06-26
78786,9951702,misdemeanor,drug,2013-12-01
1063563,10745585,misdemeanor,property,2013-02-28
78786,10701542,misdemeanor,violent,2013-03-16
79024,9037003,felony,violent,2014-09-22
79024,9163565,misdemeanor,other,2014-08-12
14780,9502200,felony,property,2014-04-28
1439871,9611734,felony,property,2014-03-22
79024,8382177,misdemeanor,other,2015-05-03
1063563,7907895,felony,property,2015-09-29
78786,8463283,misdemeanor,violent,2015-04-07
20010,8105281,misdemeanor,violent,2015-07-30
1439871,8121436,felony,property,2015-07-26
78786,7743327,misdemeanor,other,2015-11-18
1063563,7960815,felony,property,2015-09-12
79024,8240329,misdemeanor,violent,2015-06-18
19918,8347546,misdemeanor,violent,2015-05-13
79024,6724211,misdemeanor,property,2016-08-20
78786,6898779,misdemeanor,property,2016-06-30
1462612,6794198,misdemeanor,property,2016-07-30
78786,6512804,felony,violent,2016-10-20
1063563,6547915,misdemeanor,property,2016-10-11
20010,6983711,misdemeanor,drug,2016-06-04
78786,6645202,misdemeanor,violent,2016-09-12
79024,6831590,misdemeanor,violent,2016-07-18
1465404,6759197,misdemeanor,violent,2016-08-10
1462612,7454785,misdemeanor,property,2016-02-17
1439871,7266019,felony,property,2016-04-06
14773,6072762,felony,violent,2017-02-25
14780,6255045,misdemeanor,drug,2017-01-09
79024,4827774,misdemeanor,property,2017-11-13
9044,5270593,felony,drug,2017-08-30
14780,5834772,misdemeanor,drug,2017-04-27
14836,5627332,misdemeanor,violent,2017-06-18
20010,2594291,misdemeanor,property,2018-12-04
1065031,4549790,felony,property,2018-01-06
1065548,2977733,misdemeanor,property,2018-09-22
1065333,3940175,misdemeanor,violent,2018-04-14
19918,2977729,misdemeanor,property,2018-09-22
1065548,3512263,misdemeanor,drug,2018-06-30
1065548,3512264,felony,property,2018-06-30
1065548,3520330,misdemeanor,property,2018-06-28
1065717,3706923,misdemeanor,property,2018-05-25
78820,4003633,misdemeanor,violent,2018-04-03
14773,1071340,misdemeanor,violent,2019-08-27
14260,2190368,misdemeanor,violent,2019-02-21
14773,1065884,felony,violent,2019-08-28
14413,810512,misdemeanor,property,2019-10-16
14780,961698,misdemeanor,drug,2019-09-17
21493,755721,misdemeanor,violent,2019-10-28
1475717,6260408,misdemeanor,property,2020-09-25
21493,4902594,misdemeanor,violent,2020-08-27
14836,1699977,misdemeanor,other,2020-05-16
79024,35585,misdemeanor,other,2020-04-17
14780,11933282,misdemeanor,property,2014-07-04
78786,11905717,misdemeanor,drug,2012-01-13
14780,11909369,felony,property,2012-10-26
1063563,11932632,misdemeanor,property,2014-02-01
14780,11966928,misdemeanor,drug,2016-04-12
79024,11996714,misdemeanor,property,2017-11-13
1065031,12005396,felony,property,2018-01-06
1065333,12006104,misdemeanor,violent,2018-04-14
78820,12006177,misdemeanor,violent,2018-04-03
1065548,12005589,felony,property,2018-06-30
1065548,12005593,misdemeanor,property,2018-06-28
1065548,12005591,misdemeanor,drug,2018-06-30
1065717,12005804,misdemeanor,property,2018-05-25
20010,12006757,misdemeanor,property,2018-12-04
19918,12007113,misdemeanor,property,2018-09-22
1063563,11996409,misdemeanor,property,2017-11-13
1064456,11996616,misdemeanor,violent,2017-12-03
1065197,12006673,misdemeanor,violent,2018-12-19
1065214,12006021,misdemeanor,violent,2018-04-27
1063563,12006592,misdemeanor,drug,2018-02-14
1063563,12006598,misdemeanor,property,2018-02-14
14260,12007268,misdemeanor,violent,2018-08-27
1064456,12007088,misdemeanor,violent,2018-09-26
79024,12008258,misdemeanor,property,2018-09-14
79024,12008260,misdemeanor,property,2018-09-14
339988,11282296,misdemeanor,property,2012-08-18
442499,10986170,misdemeanor,drug,2012-11-30
126282,11057507,misdemeanor,violent,2012-11-06
320631,10151988,misdemeanor,violent,2013-09-21
451627,10605658,misdemeanor,property,2013-04-19
320209,10623296,misdemeanor,violent,2013-04-12
69593,10005678,misdemeanor,drug,2013-11-14
343162,10400920,misdemeanor,drug,2013-06-28
451627,10408316,misdemeanor,property,2013-06-26
404843,10116001,misdemeanor,violent,2013-10-06
316053,9248353,misdemeanor,violent,2014-07-15
349867,9525994,misdemeanor,drug,2014-04-21
323098,8413282,misdemeanor,property,2015-04-21
41991,8452684,misdemeanor,property,2015-04-10
479529,8507406,misdemeanor,violent,2015-03-24
482239,7661876,misdemeanor,property,2015-12-11
339988,8296775,misdemeanor,property,2015-06-01
483280,7688698,misdemeanor,drug,2015-12-06
359972,7707743,misdemeanor,violent,2015-11-30
306222,8099736,misdemeanor,drug,2015-08-01
306222,8128547,misdemeanor,drug,2015-07-23
53703,8145182,misdemeanor,violent,2015-07-18
339988,7999582,misdemeanor,property,2015-09-01
380061,8338628,misdemeanor,drug,2015-05-17
339988,8018656,misdemeanor,property,2015-08-26
92636,8240488,misdemeanor,property,2015-06-18
349867,7591093,misdemeanor,property,2016-01-06
320631,6447125,misdemeanor,property,2016-11-10
339988,7320589,misdemeanor,property,2016-03-22
338042,6472577,misdemeanor,violent,2016-11-02
320631,6305418,misdemeanor,property,2016-12-23
359972,6914953,misdemeanor,violent,2016-06-26
509811,6917238,misdemeanor,violent,2016-06-24
53882,6920979,felony,property,2016-06-23
69777,6500645,misdemeanor,violent,2016-10-24
318135,6935982,misdemeanor,drug,2016-06-17
512354,7388658,felony,property,2016-03-03
53858,6806429,misdemeanor,drug,2016-07-26
320631,6564193,misdemeanor,property,2016-10-05
479978,7017977,misdemeanor,property,2016-05-24
53858,6824921,misdemeanor,drug,2016-07-20
522552,7142595,felony,other,2016-05-10
525326,7213308,misdemeanor,drug,2016-04-19
342694,6871892,misdemeanor,violent,2016-07-06
339988,7270525,misdemeanor,property,2016-04-05
316053,5727106,misdemeanor,drug,2017-05-26
72764,6038914,misdemeanor,property,2017-03-06
72764,6078691,felony,property,2017-02-23
66832,6114440,misdemeanor,violent,2017-02-15
316053,5831077,misdemeanor,violent,2017-04-28
316053,5846290,misdemeanor,property,2017-04-25
320631,5865392,misdemeanor,property,2017-04-20
336042,5348920,misdemeanor,property,2017-08-15
336599,5923311,misdemeanor,violent,2017-04-05
320631,5727015,misdemeanor,property,2017-05-26
342694,4203926,misdemeanor,violent,2018-03-10
342694,4101148,misdemeanor,violent,2018-03-28
355986,3924650,misdemeanor,violent,2018-04-16
355986,3924651,misdemeanor,violent,2018-04-16
323098,3551967,misdemeanor,property,2018-06-22
359972,3836808,misdemeanor,violent,2018-05-01
358458,3202042,misdemeanor,violent,2018-08-08
344444,2039030,misdemeanor,property,2019-03-18
344444,2150760,misdemeanor,property,2019-02-28
66046,2137517,misdemeanor,violent,2019-03-04
349867,2119192,misdemeanor,property,2019-03-06
94941,7341319,misdemeanor,property,2020-10-22
342694,4929704,misdemeanor,violent,2020-09-01
344444,4906452,misdemeanor,property,2020-08-28
66832,11464725,misdemeanor,violent,2012-06-15
69058,11238732,felony,violent,2012-09-03
65964,10943037,felony,violent,2012-12-16
324828,10986151,felony,violent,2012-11-30
65964,9677832,misdemeanor,drug,2014-02-27
336042,9743628,misdemeanor,property,2014-02-04
126282,9788181,felony,violent,2014-01-17
32779,9473895,misdemeanor,violent,2014-05-08
404843,9591595,misdemeanor,property,2014-03-29
349867,8827711,misdemeanor,drug,2014-12-07
65387,5052909,misdemeanor,violent,2017-10-06
15340,5895654,misdemeanor,drug,2017-04-12
319551,4977134,misdemeanor,property,2017-10-20
72764,5776412,misdemeanor,property,2017-05-13
320209,5140311,misdemeanor,property,2017-09-21
68785,6074501,felony,violent,2017-02-24
68785,6074502,felony,violent,2017-02-24
319551,4883147,misdemeanor,drug,2017-11-02
319551,6096198,misdemeanor,drug,2017-02-19
323098,5801992,misdemeanor,property,2017-05-07
323098,5801994,misdemeanor,property,2017-05-07
323098,5801995,misdemeanor,property,2017-05-07
65387,4758548,misdemeanor,other,2017-11-26
324828,8131741,felony,violent,2017-12-18
67939,5901499,misdemeanor,property,2017-04-11
327163,4612031,felony,violent,2017-12-20
68121,4871805,felony,property,2017-11-05
65387,4761528,misdemeanor,other,2017-11-24
126282,4778011,misdemeanor,other,2017-11-20
69058,4989233,misdemeanor,other,2017-10-18
333745,5846255,misdemeanor,property,2017-04-25
69593,6020372,felony,violent,2017-03-10
69058,5354790,misdemeanor,other,2017-08-14
320631,6201157,misdemeanor,drug,2017-01-24
320631,5884343,misdemeanor,drug,2017-04-16
316053,5560634,misdemeanor,drug,2017-07-03
339988,5998375,misdemeanor,other,2017-03-17
69831,6029745,felony,drug,2017-03-08
343162,4129776,misdemeanor,other,2018-03-24
69085,4131834,misdemeanor,drug,2018-03-23
336042,4202153,misdemeanor,other,2018-03-11
126282,4516013,felony,property,2018-01-12
69058,2683902,felony,violent,2018-11-16
347083,3412511,misdemeanor,violent,2018-07-17
306222,3939111,felony,other,2018-04-15
66046,3051221,felony,violent,2018-09-09
66832,4100820,felony,violent,2018-03-28
69058,4570805,misdemeanor,other,2018-01-01
342694,3479192,misdemeanor,violent,2018-07-06
48080,3784967,misdemeanor,drug,2018-05-10
358458,3672217,misdemeanor,violent,2018-05-31
126282,3135717,misdemeanor,property,2018-08-23
65834,3091885,felony,property,2018-08-31
323098,3135420,misdemeanor,property,2018-08-23
65745,3474520,misdemeanor,property,2018-07-08
65745,3464865,felony,property,2018-07-10
336042,3851368,misdemeanor,other,2018-04-29
65745,3037386,felony,violent,2018-09-11
336042,4317176,misdemeanor,other,2018-02-18
65745,4392884,felony,violent,2018-02-04
126282,3573863,misdemeanor,property,2018-06-20
65316,704333,felony,violent,2019-11-08
13592,2460169,felony,violent,2019-01-01
65745,694240,misdemeanor,violent,2019-11-11
259056,1327786,felony,property,2019-07-09
266457,2431294,felony,other,2019-01-07
342694,1493960,felony,violent,2019-06-06
65745,1018287,misdemeanor,drug,2019-09-08
320631,10104618,misdemeanor,drug,2020-12-19
126282,7341352,misdemeanor,other,2020-10-22
66208,209785,felony,violent,2020-02-19
65964,10147169,misdemeanor,drug,2013-09-23
339988,10160364,misdemeanor,other,2013-09-18
339988,9977487,misdemeanor,property,2013-11-22
98350,10229063,felony,violent,2013-08-26
126282,10041067,misdemeanor,drug,2013-11-01
456897,10047622,misdemeanor,drug,2013-10-30
15353,10321447,felony,property,2013-07-26
344444,10706566,misdemeanor,property,2013-03-14
65964,9877461,felony,violent,2013-12-19
474178,7888850,misdemeanor,drug,2015-10-06
339988,8390645,misdemeanor,other,2015-04-29
66829,8072611,felony,violent,2015-08-10
66832,8076852,felony,violent,2015-08-09
316053,8146633,misdemeanor,drug,2015-07-17
342986,8306089,felony,violent,2015-05-28
15353,7847274,misdemeanor,property,2015-10-17
55112,8253087,misdemeanor,other,2015-06-15
126282,6444267,misdemeanor,property,2016-11-12
48080,6445341,felony,property,2016-11-11
339988,7603753,misdemeanor,property,2016-01-02
63935,6724283,misdemeanor,property,2016-08-20
320631,6479891,misdemeanor,property,2016-10-31
71257,6906271,misdemeanor,property,2016-06-28
69058,6745254,misdemeanor,other,2016-08-14
69058,6933721,misdemeanor,violent,2016-06-19
121540,6936297,felony,other,2016-06-17
320631,6963770,misdemeanor,property,2016-06-10
53703,6648850,felony,violent,2016-09-11
69058,6671515,felony,other,2016-09-04
320631,6334312,misdemeanor,property,2016-12-14
320631,6338766,misdemeanor,drug,2016-12-13
54200,6340185,misdemeanor,property,2016-12-13
524218,7175419,misdemeanor,other,2016-04-30
63935,7181598,felony,property,2016-04-29
63935,7181599,felony,property,2016-04-29
63935,7181596,felony,property,2016-04-29
63935,7181597,felony,property,2016-04-29
55112,7200043,felony,drug,2016-04-23
54289,7266260,misdemeanor,violent,2016-04-06
339988,7532717,misdemeanor,property,2016-01-22
339988,11213780,misdemeanor,property,2012-09-11
69593,8626366,misdemeanor,drug,2015-02-11
15353,8101112,misdemeanor,violent,2015-07-31
53882,6413834,misdemeanor,property,2016-11-16
48080,2684186,misdemeanor,property,2018-11-16
55112,11271102,misdemeanor,property,2012-08-22
65316,11319949,misdemeanor,violent,2012-08-06
40226,11518120,misdemeanor,other,2012-05-29
66832,11341319,misdemeanor,drug,2012-07-30
67939,11431407,misdemeanor,property,2012-06-27
98350,10153814,felony,violent,2013-09-20
69058,10009163,felony,violent,2013-11-13
15353,10235142,felony,property,2013-08-23
1256556,10235226,felony,violent,2013-08-23
65964,9706604,felony,violent,2014-02-18
65964,9706603,misdemeanor,other,2014-02-18
126282,9730202,felony,violent,2014-02-07
32779,8982977,misdemeanor,violent,2014-10-10
55112,9430574,misdemeanor,property,2014-05-23
65964,9613156,felony,drug,2014-03-21
47004,5276270,misdemeanor,violent,2017-08-29
53858,5835207,misdemeanor,drug,2017-04-27
53858,5835205,misdemeanor,drug,2017-04-27
53703,5608628,misdemeanor,violent,2017-06-20
69777,5613431,misdemeanor,violent,2017-06-19
55112,7627415,misdemeanor,other,2015-12-22
342986,8101147,felony,violent,2015-07-31
358458,7901653,misdemeanor,other,2015-10-01
40226,7962634,felony,violent,2015-09-11
66832,7988420,felony,violent,2015-09-04
66829,7988451,felony,violent,2015-09-04
54289,6604040,misdemeanor,violent,2016-09-22
55112,7011101,felony,drug,2016-05-26
66832,3894432,felony,violent,2018-04-20
65745,2904867,felony,violent,2018-10-05
65834,2830864,felony,property,2018-10-19
48080,3552281,felony,property,2018-06-22
65745,3189335,felony,property,2018-08-10
69085,3894540,misdemeanor,drug,2018-04-20
48080,2505369,misdemeanor,drug,2018-12-20
48080,2655976,misdemeanor,property,2018-11-21
48080,2684185,misdemeanor,drug,2018-11-16
320209,4396716,misdemeanor,violent,2018-02-02
68213,2888867,misdemeanor,other,2018-10-09
47754,1091409,misdemeanor,other,2019-08-23
67939,1237009,misdemeanor,property,2019-07-25
69474,1852105,misdemeanor,other,2019-04-20
69058,1584433,misdemeanor,other,2019-05-21
48211,2442185,misdemeanor,violent,2019-01-04
13592,2370556,felony,violent,2019-01-18
65316,630717,felony,violent,2019-11-22
66046,1759898,misdemeanor,other,2020-06-02
54200,5372584,misdemeanor,property,2017-08-10
69058,5764715,misdemeanor,violent,2017-05-16
68121,4707602,misdemeanor,drug,2017-12-01
53703,5777365,felony,violent,2017-05-12
69593,5778024,felony,violent,2017-05-12
48080,4608381,misdemeanor,property,2017-12-21
68785,5998529,felony,violent,2017-03-17
68785,5998530,felony,violent,2017-03-17
339988,13582211,misdemeanor,property,2012-09-11
67939,13580851,misdemeanor,property,2012-06-27
66832,13580900,misdemeanor,drug,2012-06-18
40226,13581079,misdemeanor,other,2012-05-29
46960,13581626,misdemeanor,other,2012-03-16
55112,13582415,misdemeanor,property,2012-08-22
65316,13582559,misdemeanor,violent,2012-08-06
66832,13582607,misdemeanor,drug,2012-07-30
66832,13632926,misdemeanor,property,2012-07-25
243409,13647939,misdemeanor,property,2012-02-14
66832,13649514,misdemeanor,other,2012-12-16
46960,13656004,misdemeanor,property,2012-04-20
55112,13657204,misdemeanor,drug,2012-01-13
66832,13658253,misdemeanor,property,2012-03-16
66829,13633121,misdemeanor,violent,2012-08-23
65745,13654150,misdemeanor,property,2012-10-22
55112,13657090,misdemeanor,property,2012-02-24
46960,13658463,felony,other,2012-02-24
67939,13658916,misdemeanor,property,2012-03-10
339988,13659284,misdemeanor,property,2012-01-26
66832,13659629,misdemeanor,drug,2012-03-25
336042,11507826,misdemeanor,property,2012-06-01
915957,11587820,misdemeanor,drug,2012-05-07
48211,11019857,misdemeanor,property,2012-11-20
55112,9977537,misdemeanor,property,2013-11-22
336042,10238927,misdemeanor,property,2013-08-22
25928,10695699,misdemeanor,property,2013-03-18
358458,10770769,misdemeanor,property,2013-02-20
339988,10857800,misdemeanor,property,2013-01-19
230959,10537948,misdemeanor,drug,2013-05-13
479529,8885615,misdemeanor,violent,2014-11-16
442499,8886548,misdemeanor,property,2014-11-15
336042,9107797,misdemeanor,property,2014-09-01
339988,9428760,misdemeanor,property,2014-05-24
339988,9428759,misdemeanor,property,2014-05-24
339988,9430551,misdemeanor,property,2014-05-23
336042,9454615,misdemeanor,property,2014-05-15
15353,8816368,misdemeanor,violent,2014-12-10
336042,9291522,misdemeanor,other,2014-07-01
2143682,9332389,felony,property,2014-06-18
336042,9571999,misdemeanor,property,2014-04-04
339988,8839064,misdemeanor,property,2014-12-02
2106053,8274183,misdemeanor,property,2015-06-09
344444,8072732,misdemeanor,property,2015-08-10
349867,8428976,misdemeanor,drug,2015-04-17
40226,8118038,misdemeanor,violent,2015-07-27
2106053,8167255,misdemeanor,property,2015-07-12
339988,8061453,misdemeanor,other,2015-08-13
320209,7764710,misdemeanor,property,2015-11-12
2119515,7784903,misdemeanor,other,2015-11-05
56452,7801944,misdemeanor,property,2015-10-31
15353,7811938,misdemeanor,property,2015-10-28
339988,8018657,misdemeanor,property,2015-08-26
358458,8247591,misdemeanor,other,2015-06-16
2106053,8379497,misdemeanor,violent,2015-05-04
911946,6351797,misdemeanor,violent,2016-12-11
2106053,6476446,misdemeanor,property,2016-11-01
483280,7345291,misdemeanor,property,2016-03-16
53703,6500631,misdemeanor,violent,2016-10-24
2106053,6934708,misdemeanor,violent,2016-06-18
2134683,6524956,misdemeanor,drug,2016-10-18
320209,6555468,misdemeanor,violent,2016-10-08
344444,6640139,misdemeanor,property,2016-09-13
339988,7136699,misdemeanor,property,2016-05-11
320631,6655456,misdemeanor,drug,2016-09-08
15353,6319876,misdemeanor,violent,2016-12-19
339988,6330750,misdemeanor,property,2016-12-15
2143682,7234808,misdemeanor,violent,2016-04-14
66829,6871709,misdemeanor,violent,2016-07-06
2143682,7292363,misdemeanor,violent,2016-03-30
63935,7527979,misdemeanor,property,2016-01-27
320209,5520925,misdemeanor,violent,2017-07-11
339988,5751489,misdemeanor,property,2017-05-19
47004,5757564,misdemeanor,violent,2017-05-18
2248903,5065069,misdemeanor,property,2017-10-04
339988,5787038,misdemeanor,property,2017-05-10
2202943,4763108,misdemeanor,property,2017-11-23
2106053,5337389,misdemeanor,violent,2017-08-17
339988,5673854,misdemeanor,property,2017-06-06
358578,5692690,misdemeanor,drug,2017-06-01
339988,5692673,misdemeanor,property,2017-06-01
339988,5878755,misdemeanor,property,2017-04-17
228162,5977063,misdemeanor,property,2017-03-23
339988,6010030,misdemeanor,property,2017-03-14
38602,6235576,misdemeanor,drug,2017-01-14
320209,4507353,misdemeanor,violent,2018-01-15
344219,2471357,misdemeanor,violent,2018-12-29
324828,2494362,misdemeanor,violent,2018-12-24
2154819,3013581,misdemeanor,violent,2018-09-16
293396,2710557,misdemeanor,violent,2018-11-12
66208,4339990,misdemeanor,violent,2018-02-13
47754,3536436,misdemeanor,drug,2018-06-26
48080,3552282,misdemeanor,property,2018-06-22
909315,3741551,misdemeanor,violent,2018-05-18
419322,3227956,misdemeanor,violent,2018-08-03
336042,2016292,misdemeanor,property,2019-03-22
336042,664155,misdemeanor,property,2019-11-17
1023093,1991202,misdemeanor,violent,2019-03-27
324828,2460174,misdemeanor,violent,2019-01-01
47004,1901384,misdemeanor,violent,2019-04-11
336042,2439034,misdemeanor,property,2019-01-06
81979,709059,misdemeanor,violent,2019-11-07
336042,2150639,misdemeanor,property,2019-02-28
358458,2381982,misdemeanor,drug,2019-01-16
358578,2424640,misdemeanor,other,2019-01-08
344219,546125,misdemeanor,violent,2019-12-09
55112,3350822,misdemeanor,violent,2020-07-05
1256556,131673,misdemeanor,violent,2020-03-05
320631,257568,misdemeanor,property,2020-02-10
48080,3328752,misdemeanor,violent,2020-06-28
49727,32666,misdemeanor,violent,2020-04-20
